	Acholeplasmataceae	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Akkermansiaceae	Anaerofustaceae	Anaerovoracaceae	Atopobiaceae	Bacillaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	Campylobacteraceae	Carnobacteriaceae	Caulobacteraceae	Chloroplast	Christensenellaceae	Clostridia_UCG-014	Clostridia_vadinBB60_group	Clostridiaceae	Comamonadaceae	Coriobacteriaceae	Coriobacteriales_Incertae_Sedis	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Dysgonomonadaceae	Eggerthellaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Fusobacteriaceae	Gastranaerophilales	Gemellaceae	Hafniaceae	Hyphomonadaceae	Izemoplasmatales	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Marinifilaceae	Micrococcaceae	Monoglobaceae	Moraxellaceae	Morganellaceae	Muribaculaceae	Neisseriaceae	Nocardiaceae	Oscillospiraceae	Oscillospirales	Oxalobacteraceae	P5D1-392	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Puniceicoccaceae	RF39	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Saccharimonadales	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Syntrophomonadaceae	Tannerellaceae	UCG-010	Veillonellaceae	Victivallaceae	Weeksellaceae	Xanthomonadaceae	Yersiniaceae	[Clostridium]_methylpentosum_group	[Eubacterium]_coprostanoligenes_group	vadinBE97
MR11	0	0	0.0215585828824852	0	0	0.0112925910336827	0.0800747364206593	0	0	32.0432403576671	0	6.78684721124332	0	0.184787853278444	0	0	0	0	0	0	0	11.3449475921116	0	0	0	0	0	0	0	0.16733566713548	0	0.526645381843567	0.66420967261752	2.4843700274102	1.08408873923354	0	0	0	0	0	0	0	0	21.4086994014927	0.0184787853278445	0	0	0	0	0	0	0	0	0	1.97928322844912	0	0	0	0.0277181779917667	0	4.817829974643	0	0	0	0	0	0	0	0	9.32049399952776	0	0	0	0	0.906487080249258	0	4.61456333603671	0	0	0.0657023478323358	0	1.43210586290794	0	0	0	0	0	0.00923939266392223	0
MR12	0	0	0.038986917723164	0	0.150171831229965	0	0	0	0	6.35775550870708	0	30.2466283535969	0	0.580471886100442	0.0115516793253819	0	0.00577583966269096	0	0.142952031651601	0	0	0.259912784821093	0	0	0	0.0115516793253819	0	0.0505385970485459	0	0.153059751061311	0	1.89303144944696	0.605019204666878	0.382649377653276	2.49660669419817	0	0	0	0	0.0231033586507639	0	0	0	24.3321685390014	0	0	0	0.0072197995783637	0.083749675109019	0.0288791983134548	0	0	0.00288791983134548	0	0.044762757385855	0	0	0.0490946371328732	1.46273139457649	0	1.65044618361394	0	0	0	0	0	0	0.00866375949403645	1.25913304646663	24.9819505010541	0	0	0	0.0245473185664366	1.89303144944696	0	0	0	0	0	0	0.646894042221388	0	0	0	0.033211078060473	0	0.0808617552776735	0
MR13	0	0	0	0	3.55145575093687	0	0.145575093686941	0	0	28.1507639089075	0	14.3831075237821	0	0.0389161141539349	0	0	0	0	0	0	0	0.707696742577112	0	0	0	0.0302680887863938	0	0	0	0.53041222254252	0	2.53531277025079	0.118189680023061	0.88642260017296	1.41106947247045	0	0	0	0	0	0	0	0	27.845200345921	0	0	0	0.00432401268377054	0	0	0	0	0	0	1.56817526664745	0	0	0	0.154223119054483	0	4.29806860766792	0	0	0	0	0	0	0	0.161429806860767	1.13289132314788	0	0	0.0504468146439896	0	0.239262035168636	0	1.1588353992505	0	0	1.97751513404439	0	8.52983568751802	0	0	0	0	0	0	0
MS01	0	0	0.0599736116108912	0	0	0	0.215905001799208	0.00856765880155589	0	25.8777566442194	0	15.4492023509656	0	0.373549923747837	0	0	0	0	0.0445518257680906	0	0	0.0394112304871571	0	4.98980448602615	0	0	0	0.221045597080142	0	0.267310954608544	0	0.935588341129903	0	8.99090114635275	0.30500865333539	0.047978889288713	0.0394112304871571	0	0	0	0	0	0	22.5020990764064	0.0702548021727583	0	0.464367107044329	0	0.282732740451344	0	0	0.018848849363423	0	0	0.711115680529139	0	0.0205623811237341	0.0359841669665347	0	0	4.27012114669545	0	0.0308435716856012	0	0	0	0	0	3.10320601792354	8.26950427526174	0	0	0	0	0.155931390188317	0.0137082540824894	1.17376925581316	0	0	0.178207303072362	0.0222759128840453	0.810500522627187	0	0	0	0	0	0	0
MS02	0	0	0.00941564173483199	0	0	0	0.250691461189902	0.02942388042135	0	10.6549755781792	0	9.73930441946684	0	0.351909609839346	0	0	0	0	2.23974577767316	1.24521861943153	0.048255163891014	0.230683222503384	0	2.81292296828106	0.00588477608426999	0	0.00470782086741599	0.196551521214618	0	0.416642146766316	0	0.557876772788795	0.22362149120226	0.0812099099629259	3.04007532513388	0.0470782086741599	0.002353910433708	0	0	0	0	0	0	29.7604896133702	0.0564938504089919	0	0.541399399752839	0	0.20008238686518	0	0	0	0	0	5.63408462308009	0.01176955216854	0.034131701288766	0	0.030600835638204	0	1.59830518448773	0	0.00470782086741599	0	0	0	0.02353910433708	0	3.92043782734067	18.8489377979168	0	0	0	0	0.566115459306773	0	0.987465426940505	0	0	0.048255163891014	0.128288118637086	1.36173718590008	0	0	0	0	0	2.93768022126758	0
MS03	0.0945660871462865	0	0.109114715938023	0	0	0	0.352804248199607	0.0654688295628137	0	12.526369389685	2.38597512184477	10.0640139666836	0.00727431439586819	0.1600349167091	0	0	0	0	3.28071579253655	1.48032297955918	0.109114715938023	0.356441405397541	0	4.04088164690478	0	0	0.0254601003855387	0.40008729177275	0	0.290972575834728	0	0.0218229431876046	0.0545573579690114	1.29846511966247	0.829271841128974	0	0	0	0.0109114715938023	0	0	0	0	17.494726122063	0.076380301156616	0	0.741980068378555	0	0.0109114715938023	0	0	0	0	0	12.5882010620499	0	0.076380301156616	0	0	0	1.36757110642322	0	1.32392522004801	0	0	0	0.0109114715938023	0	7.67440168764094	14.294027787881	0	0	0	0.00727431439586819	1.21117334691205	0	0.345529933803739	0	0	2.538735724158	0.0982032443442206	0.632865352440533	0	0	0	0	0	1.53124318033025	0
MS04	0	2.52949620137941	0	0	0.0367608444491125	0	0.0665196232888702	0.0560165248748381	0	10.7324160627385	0.371109477295802	9.4562896054336	0	0.61443125722088	0.0192556804257256	0	0	0	2.10237019920877	0.36060637888177	0.0175051640233869	1.03805622658684	0	2.80607779294892	0	0	0.022756713230403	0.0857753037145958	0	0.0805237545075797	0	0.0717711724958863	0	1.70325245947555	0.10678150054266	0	0.0140041312187095	0	0	0	0	0	0.028008262437419	24.1133634422155	0.0665196232888702	0	0.36060637888177	0	0.175051640233869	0	0	0	0	0	2.77281798130449	0	0	0	0.0367608444491125	0.0140041312187095	1.46868326156216	0.00700206560935476	10.5941252669538	0	0	0	0	0	2.58551272625425	22.1405314567797	0	0	0	0	0.259076427546126	0	0.757973602212653	0.0105030984140321	0	0.477890977838462	0.022756713230403	0.0700206560935476	0	0	0	0	0	1.45642964674579	0
MS05	0	1.11019980214261	0.009300988441408	0	0	0	0.187710857635689	1.02310872855488	0	18.192733391394	0.74999788613899	19.13297876838	0	1.02310872855488	0	0	0	0	0.9300988441408	0	0.0177564324790516	0.141205915428649	0	2.3134094886993	0.00253663321129309	0	0.0109920772489367	0.45913061124405	0	0.110766316893132	0	0.175873235982988	0	0.970684975521489	5.70996135862075	0.0896277067990226	0	0	0	0	0	0	0	16.0890189148283	2.04114419068717	0	0.603718704287756	0	0.0448138533995113	0	0	0.0448138533995113	0	0	5.02845256918667	0.00676435523011491	0.0794811739538502	0	0	0.00845544403764364	1.37231856730956	0	0.188556402039453	0	0	0	0	0	2.73449060177395	17.0656227011761	0	0	0	0	0.863300836243415	0	0.51155436427744	0	0	0.450675167206406	0.0177564324790516	0.0422772201882182	0	0	0	0	0	0	0
MS06	0	10.9569186172017	0.0647608474419465	0	0.0277546489036914	0.00616769975637586	0.0493415980510069	0	0	0.860394116014432	0	22.0402750794091	0	0.222037191229531	0.00925154963456379	0	0	0	0.0246707990255034	0	0	0.0277546489036914	0	10.4727541863262	0	0.0277546489036914	0	0.0123353995127517	0	0.0370061985382552	0	0.19428254232584	0	0.0339223486600672	5.10685539827921	0.00616769975637586	0.043173898294631	0.243624140376846	0	0	0	0	0	10.6947913775557	2.26971351034632	0	0.00616769975637586	0	0	0	0	0.422487433311746	0	0	0.801800968328862	0	0	0.0123353995127517	0	0	1.9150707743547	0	20.1313720048108	0	0	0	0	0	0	5.2641317420668	0	0	3.88873469639498	0.0154192493909396	0.622937675393962	0	1.17803065346779	0	0	0.135689394640269	0	0.317636537453357	0	0	0	0	0	1.72387208190705	0.0215869491473155
MS07	0	0	0.0047868266530508	0	2.57052591268828	0	0.00319121776870054	0	0	20.034465151902	1.63549910645902	6.8435665049783	0	0.619096247127904	0	0	0	0	0	0	0	0.928644370691856	0	0.856841970896094	0	0	0	0	0	0.598353331631351	0	0.0957365330610161	0	1.36743681388818	0.446770487618075	0	0	0	0	0	0	0	0	26.8349502170028	0	0	0.303165688026551	0.00638243553740107	0.333482256829206	0	0	0	0	0	0.606331376053102	0	0	0	0.0957365330610161	0	2.97581056931325	0	0	0.00319121776870054	0	0	0	0	1.83335460811846	25.4675134031146	0	0	0	0	2.30086801123309	0	1.22702323206536	0.00957365330610161	0	0.0446770487618075	0	1.00363798825632	0	0	0	0	0	0.41645391881542	0
