	Actinobacteriota	Bacteroidota	Campylobacterota	Cyanobacteria	Desulfobacterota	Elusimicrobiota	Firmicutes	Fusobacteriota	Patescibacteria	Proteobacteria	Synergistota	Verrucomicrobiota
MS15	9.38836552707349	27.5780616666201	0	0	0.515752103541777	0	49.966455147737	0	0	4.5509182903307	0.181701283090599	1.91764738769463
MS16	22.4069347681129	17.3323216297625	0	0	0	0	28.2173323216298	0	0	32.0020234071417	0	0
MS17	7.4840893923857	30.7908914823315	0	0	0.047202825658805	0	57.623256343897	0.0683627130230968	0.0227875710076989	3.8462164493709	0	0.0520858765890262
MS18	21.1204638329084	31.4519227410848	0	0.00698543536725926	0.263700185114037	0	41.088330830219	0	0.00523907652544445	1.62062100520415	0	4.4078097167406
MS19	4.39581351094196	19.0778013613409	0.0512332577032862	0.2122520676279	1.03344799824343	0	58.4264070848276	0.245919636975774	0.00439142208885311	0.824123545341433	0.182975920368879	6.81109565981117
MS20	12.9881717972992	38.6358937529244	0	0.0065289067345673	0.171927877343605	0	44.0026550887387	0	0.00544075561213941	2.28511735709855	0	1.85203321037226
MS21	7.73773794492855	27.3549562229628	0	0	0.291156969483714	0	64.0600528498195	0	0	0.519528905263594	0	0.00896929052911915
HC01	3.79979165633216	32.8505051507184	0	0	0.501016915521603	0	62.0979876647319	0	0	0.281098599467566	0	0.44479719562809
HC02	3.90652212921817	33.1173012170279	0	0.0263882878223329	0.303993075713275	0	56.5933775952883	0.00316659453867995	0	2.48999883891534	0	3.49908696524135
HC03	10.3907637655417	30.7605360891329	0	0	0	0	55.6313579848216	0	0	3.11373055600409	0	0.0766994994348458
HC04	5.14286822005971	37.6710735470864	0	0	0.178342961268561	0.149265304539991	53.2547590431512	0.00581553134571395	0.0135695731399992	3.5009498701198	0	0.0504012716628543
HC05	2.25343359642036	26.4607544590144	0.257286681996147	1.39332546143807	0.315704431048412	0	62.528121310049	0.00870051581629482	0	2.61512646821204	0	2.81026660866323
HC06	2.58993790307405	41.799955522863	0	0	0.480695211865132	0	48.6220640812905	0.0153959320526199	0	5.76492122414766	0	0.663735737379612
HC07	17.6000136712408	13.30040842832	0.00341781020899909	0	0.18797956149495	0	61.8486935420475	0	0	1.39104875506263	0.0102534306269973	0.00854452552249774
HC08	9.74561844387879	32.9674605619417	0	0	0.0324259472429838	0	55.1078973394511	0	0	2.04931986575658	0	0.0372898393294314
HC09	2.63867938558287	36.6504493403301	0	0	0.146593299199048	0	55.6587138031401	0	0	4.69311011493765	0	0.072234379315473
HC10	12.8124414465055	37.7215664230841	0	0	0.329773280869402	0	46.1364062207232	0	0.00562113546936481	1.26100805696084	0	1.6563612516395
HC11	6.93170613733187	27.1166260487787	0	0	0.195337934626905	0	65.1070637917884	0	0	0.500437184901308	0	0.133946012315592
HC12	0.727054522111668	32.7635049330859	0	6.44999232476032	0.255376156519069	0	46.6808077143136	0	0.00279099624611005	10.0768919465803	0	2.93054605841555
HC13	10.0956513476705	32.0558705222817	0	0.00791815791974155	0.115605105628227	0	56.8571247584961	0	0	0.817153897317328	0	0.00316726316789662
HC14	22.4117147204711	15.1789419599628	0	0	0.0276663438926546	0	55.9275141790012	0	0	6.42452028535858	0	0
HC15	6.4628214037526	30.8042201023438	0.00947627771811233	0.6917682734222	0.287447090782741	0	57.9190094131025	0.0221113146755954	0	1.82892159959568	0	1.88577926590435
HC16	8.50787710508843	41.027343514215	0	0	0.347075511559124	0	47.7636264863886	0	0	2.20317498641878	0	0.0603609585320215
HC17	7.14335639896554	35.2694485217027	0.034947927587894	0	0.132802124833997	0	51.8906828825051	0.0629062696582093	0	3.9910533305375	0	1.36995876144545
HC18	9.73340040241449	27.1730382293763	0	0	0.0905432595573441	0	58.8179074446681	0	0	3.94366197183099	0	0.0603621730382294
HC19	9.84256446083608	43.1981023249768	0	0.00487416529919251	0.422427659263351	0	44.5709922175827	0	0	1.8261872654308	0	0.0308697135615526
HC20	3.84993598901609	47.101879510919	0	0.00371078167616008	0.90914151065922	0	44.2816854370373	0	0	3.8202497356068	0	0
HC21	5.38682418574124	38.010091065715	0	0.00820411846747067	0.26704405611617	0	53.3554844531954	0.0012306177701206	0.00410205923373533	1.68512593321848	0.0578390351956682	0.774878989252605
HC22	9.38478153429372	31.4784646080064	0	0	0.250773370430708	0	57.5662169830315	0	0	1.31427211656386	0	0
HC23	7.4370486043334	37.4438805387468	0	0.00975990630489947	0.649033769275815	0	48.1529377317978	0.0268397423384736	0.0268397423384735	6.20730040991606	0	0
HC24	4.66592702169625	31.9218441814596	0.01232741617357	0.00924556213017752	0.366740631163708	0	58.5244082840236	0	0	4.38239644970414	0	0.00924556213017752
HC25	6.75025764342151	41.8470170617199	0	0.0171762281003092	0.286270468338486	0	48.6946066643765	0	0	2.35314324974236	0	0
HC26	13.2097448208411	42.2868320441007	0	0.0986929847959456	0.959366942295723	0	39.4380723748555	0.00266737796745799	0.00266737796745799	3.97172579354495	0	0
HC27	10.1647308889395	34.418887117589	0	0	0.311242693387991	0	52.607606467775	0	0	2.32293327260305	0	0.0759128520458514
